POS,POSCount,POSTokens
NOUN,10779,"['Russian', 'Igor', 'Kolokov', 'Cairo', 'January', 'assault', 'police', 'officer', 'supplies', 'Middle', 'East', 'company', 'Moscow', 'Medikat', 'background', 'check', 'reveals', 'administrator', 'Soviet', 'institute', 'Vector', 'Strizi', 'Kirov', 'Russia', 'card', 'note', ']', 'Safrygin', 'H.', 'Q.', 'Peshawar', 'David', 'Loiseau', 'citizen', 'Toronto', 'Kanjak', 'Training', 'Camp', 'Gizab', 'March', 'b', 'Raeed', 'Beandali', 'American', 'Detroit', 'MI.', 'Mine', 'warfare', 'training', 'Al', 'Khaldun', 'camp', 'Qalat', 'November', 'London', 'December', 'c', 'Fahd', 'Khadr', 'Canadian', 'Montreal', 'Light', 'weapons', 'Al-Badr', 'Sent', 'home', 'October', '..', 'Surveillance', 'report', 'Cesar', 'Arze', 'residence', 'Avenue', 'Francis', 'Santo', 'Domingo', 'Dominican', 'Republic', 'Havana', 'Cuba', 'technician', 'surveillance', 'information', 'Cuban', 'intelligence', 'services', 'man', 'Hector', 'Lopez', 'Bogota', 'Columbia', 'representative', 'FARC', 'narcotics', 'distribution', 'activities', 'South', 'Central', 'America', 'Caribbean', 'source', 'Calamar', 'men', 'Cubans', 'transfer', 'cocaine', 'members', 'National', 'Liberation', 'Army', '[', 'ELN', 'Jose', 'Escalante', 'students', 'school', 'laboratory', 'technicians', 'capacity', 'representatives', 'area', 'Ecuador', 'Peru', 'exchange', 'sorts', 'region', 'Pyotr', 'director', 'security', 'position', 'Airlines', 'Lipetsk', 'Saeed', 'Hasham', 'Hamid', 'Qatada', 'Yasir', 'Salman', 'Member', 'staff', 'Qaeda', 'Farooq', 'Khost', 'name', 'planning', 'documents', 'Jorm', 'Taloqan', 'Salang', 'tunnel', 'notice', 'Osama', 'bin', 'Laden', 'September', 'actions', 'Khalid', 'Taha', 'aliases', 'Egyptian', 'Spin', 'Shaga', 'Pakhtia', 'province', 'Kashmiri', 'militants', 'chemical', 'al', 'Badawi', 'Saudi', 'degree', 'University', 'Egypt', 'specialty', 'immunology', 'infection', 'July', 'April', 'Surete', 'de', 'bulletin', 'Moroccan', 'Abdillah', 'Zinedine', 'alias', 'Abu', 'Hafs', 'others', 'house', 'Rue', 'Duhesme', 'connection', 'attempt', 'sauter', 'Embassy', 'Paris', 'Fall', 'explosives', 'Afghanistan', 'Badr', 'II', 'flight', 'Canada', 'passport', 'Mehdi', 'Rafiki', 'occupant', 'interrogation', 'way', 'Chicago', 'friend', 'Murad', 'Zakarya', 'Ziyad', 'things', 'cities', 'Mohamed', 'Omari', 'Pakistani', 'time', 'insurgent', 'group', 'refuge', 'Parachinar', 'border', 'hospital', 'recovery', 'items', 'facility', 'presence', 'photos', 'persons', 'photo', 'Dr.', 'Mamdouh', 'Hazmi', 'carats', 'diamonds', 'organization', 'rebel', 'forces', 'Liberia', 'assortment', 'person', 'businessman', 'trading', 'past', 'address', 'Panama', 'City', 'Panamico', 'Ave', 'package', 'Ramundo', 'Ortiz', 'customs', 'purposes', 'art', 'value', 'response', 'query', 'associates', 'Omar', 'Mahmoud', 'Othman', 'Baker', 'St.', 'Mosque', 'MI', 'Hanif', 'employment', 'mosque', 'period', 'UK', 'year', 'Travel', 'records', 'Heathrow', 'Islamabad', 'February', 'Apple', 'Nassau', 'Bahamas', 'chain', 'hotels', 'Seashore', 'Hotel', 'Freeport', 'Star', 'Jamal', 'Quso', 'Yemen', 'citizenship', 'troubles', 'law', 'sentence', 'Records', 'Illinois', 'Sahibzada', 'Gul', 'Rd', 'May', 'Intelligence', 'tipped-off', 'occupants', 'day', 'mess', 'interest', 'doctor', 'stethoscope', 'notes', 'Arabic', 'Legionella', 'gastroenteritis', 'results', 'project', 'USA', 'TOPOFF', 'addition', 'envelope', 'F.', 'cabinet', 'rooms', 'Karachi', 'funds', 'number', 'bombings', 'Casablanca', 'attempts', 'mass', 'casualties', 'bombers', 'individuals', 'A', 'participant', 'bombing', 'June', 'Essabar', 'names', 'participants', 'duress', 'A.', 'Atmani', 'Abdellah', 'resident', 'life', 'interviews', 'part', 'attention', 'loading', 'supervisor', 'Holland', 'Orange', 'Shipping', 'Lines', 'offices', 'docks', 'ships', 'freight', 'runs', 'variety', 'locations', 'coast', 'places', 'Voorburg', 'straat', 'Amsterdam', 'origin', 'Netherlands', 'mid', 'evidence', 'plan', 'synagogues', 'Riduan', 'Sungkar', 'Kuala', 'Lumpur', 'airline', 'ticket', 'Schiphol', 'Airport', 'IL', 'Los', 'Angeles', 'CA', 'departure', 'date', 'Evertts', 'notebook', 'addresses', 'Somad', 'Buckthorn', 'St', 'Inglewood', 'Y.', 'Bafaba', 'Flaxton', 'Culver', 'business', 'objects', 'stones', 'evaluator', 'tanzanites', 'occasions', 'traffic', 'charities', 'clients', 'Africa', 'Iran', 'Pakistan', 'price', 'All', 'Chitral', 'footnote', 'story', 'informer', 'throat', 'slit', 'alley', 'NSA', 'RCMP', 'R.', 'Derwish', 'Tecumseh', 'Windsor', 'Ontario', 'fact', 'Satam', 'Ronald', 'associations', 'Hezbollah', 'Michigan', 'agent', 'Eastern', 'trips', 'cost', 'Newark', 'NJ', 'Columbus', 'Ohio', 'intercept', 'Bugarov', 'contact', 'Institute', 'Boris', 'scientist', 'bioweapons', 'years', 'Maj.', 'Gen.', 'Yury', 'Kalinin', 'sources', 'government', 'Muslih', 'Odeh', 'Jeddah', 'living', 'Arabia', 'Riyadh', 'CIA', 'firefight', 'Orgun', 'arm', 'refugee', 'Query', 'Carlos', 'Araneda', 'Sands', 'B.', 'Sahara', 'Atlantic', 'Arnoldo', 'Ramirez', 'San', 'Cristobal', 'Oasis', 'Ali', 'Talib', 'Adil', 'Banna', 'Nadia', 'Mahfouz', 'Mishal', 'Abdel', 'Noufal', 'Ahmad', 'Miner', 'Jamat', 'Syeed', 'Hyderabad', 'Shukri', 'Azzam', 'Nidal', 'Awad', ',22', 'Response', 'Martin', 'Resident', 'Morales', 'taxi', 'driver', 'AutoFleet', 'birth', 'certificate', 'shows', 'Buenos', 'Aires', 'Argentina', 'rides', 'someone', 'phone', 'cab', 'shop', 'Ramses', 'wire', 'pesos', 'Canal', 'Bank', 'Peoples', 'account', 'Miami', 'FL', 'connecting', 'route', 'Nishtar', 'Malaysian', 'Sufaat', 'Cargo', 'Caracas', 'Venezuela', 'work', 'request', 'routes', 'destinations', 'areas', 'shipping', 'line', 'freighters', 'Dutch', 'Courage', 'Queen', 'FL.', 'Savannah', 'GA.', 'Norfolk', 'VA.', 'deliveries', 'ports', 'Itar-Tass', 'news', 'Agency', 'cattle', 'city', 'Blagoveshchensk', 'foot', 'mouth', 'disease', 'thousand', 'state', 'emergency', 'districts', 'Amur', 'Sources', 'park', 'See', 'Report', 'certificates', 'Islamic', 'community', 'town', 'Saratov', 'biology', 'State', 'expert', 'forms', 'India-1', 'smallpox', 'plague', 'wife', 'Europe', 'program', 'reports', 'record', 'FBI', 'Abdul', 'Nasser', 'al-Omari', 'Ahmed', 'Khuldan', 'DIA', 'computer', 'disk', 'reveal', 'student', 'direction', 'location', 'Strizhi', 'farm', 'bag', 'rubles', 'size', 'shoeboxes', 'antibiotics', 'market', 'Center', 'Disease', 'Control', 'CDC', 'cases', 'vicinity', 'Bucaramanga', 'FMD', 'Grigory', 'Sizov', 'chemist', 'university', 'visit', 'regards', 'Castro', 'buffoon', 'stays', 'climate', 'money', 'Union', 'picture', 'woman', 'nothing', 'assistants', 'BW', 'diamond', 'rings', 'events', 'raid', 'officers', 'Jabarah', 'Kuwaiti', 'Jehani', 'Ramzi', 'Shibh', 'Yemeni', 'courier', 'packet', 'messages', 'instructions', 'HQ', 'message', 'S.', 'H', 'Allah', 'praise', 'days', 'Moataz', 'Gwadar', 'Step', 'deck', 'hand', 'Island', 'Freight', 'contacts', 'track', 'visitor', 'uniform', 'Officer', 'Antibiotics', 'boss', 'label', 'street', 'case', 'embassy', 'conversation', 'party', 'ambassador', 'consular', 'official', 'Saudis', 'embassies', 'family', 'Ghamdi', 'clerk', 'sons', 'regret', 'boys', 'son', 'ship', 'Packet', 'hotel', 'parking', 'lot', 'trunk', 'car', 'yesterday', 'cruise', 'Viking', 'Holiday', 'Peshawar.', 'funds.', 'Biographical', 'Further', 'From', 'Additional', 'Received', 'Interrogation', 'Abba', 'Baglan', 'fight', 'Russians', 'Chechnya', 'Taliban/Al', 'lots', 'cocktails', 'bastards', 'Kamal', 'Abdullah', 'Asadabad', 'forth', 'Sittah', 'Talat', 'Rushdi', 'charge', 'missions', 'Americans', 'Khaled', 'Feyzabad', 'laptop', 'SCADA', 'system', 'grid', 'gas', 'pipelines', 'Internet', 'site', 'construction', 'pulse', 'bombs', 'science', 'Maryland', 'BA', 'MA', 'list', 'Yazid', 'e-bombs', 'Nami', 'alcoholic', 'bastards.', '.The', 'purpose', 'funeral', 'uncle', 'Durocher', 'belongs', 'pub', 'Patrick', ""O'alley"", 'heard', 'Canadauto', 'Car', 'Rental', 'agency', 'Walden', 'Schiller', 'Park', 'Buffalo', 'NY', 'Riyad', 'Yasser', 'accident', 'M4', 'Motorway', 'Heston', 'Service', 'Area', 'air', 'controller', 'kilos', 'Semtex', 'videocassette', 'sermon', 'Salafi', 'jihad', 'preacher', 'apartment', 'Northumberland', 'Circle', 'Bedfont', 'Clare', 'Street', 'Beach', 'Ferry', 'Ave.', 'Camden', 'CA.', 'investigators', 'residences', 'CalNational', 'bank', 'deposits', 'BMI', 'investment', 'license', 'Cermak', 'Drexel', ""O'Hare"", 'Hobby', 'Houston', 'Texas', 'States', 'Airline', 'cash', 'identification', 'Charlotte', 'NC', 'Rifai', 'Qasim', 'floor', 'Southern', 'Trailways', 'bus', 'depot', 'appearance', 'Blakely', 'theft', 'electronics', 'supply', 'store', 'bail', 'bond', 'BailOut', 'Carolina', 'First', 'Muhammed', 'Mustafa', 'amount', 'Emirate', 'Dubai', 'UAE', 'search', 'envelopes', 'letters', 'field', 'office', 'USCIS', 'arrival', 'informant', 'Jihad', 'team', 'warrant', 'Thirty', 'C-4', 'plastic', 'Maps', 'diagrams', 'Sears', 'Tower', 'notepad', 'room', 'call', 'tomorrow', 'apprehension', 'posing', 'priest', 'CDG', 'Fr', 'Augustin', 'Dominique', 'Cardinet', 'question', 'destination', 'CSIS', 'Abdal', 'Hawsawi', 'folder', 'Mousa', 'Salah', 'Herndon', 'Dulles', 'International', 'board', 'arrest', 'Shadi', 'abu', 'Hoshar', 'Hamas', 'fund-raising', 'Northern', 'Virginia', 'possession', 'T21-23-8820', 'DOT', 'August', 'Stevens', 'Roanoke', 'Ms', 'subject', 'investigations', 'classes', 'numbers', 'initials', 'back', 'i', 'J.', 'T.', 'ii', 'iii', 'M.', 'Laurel', 'Shamrani', 'TexEast', 'Petroleum', 'Co.', 'visa', 'Suspicion', 'result', 'attendance', 'meeting', 'God', 'Aryan', 'Militia', 'Denton', 'militia', 'Mineral', 'Wells', 'meetings', 'friendship', 'Pine', 'Bellaire', 'Ship', 'Channel', 'plans', 'Reliant', 'Stadium', 'Galleria', 'Shopping', 'Mall', 'association', 'objectives', 'elimination', 'Zioni', 'influence', 'nature', 'Doha', 'Ayyash', 'Missouri', 'MO', 'visas', 'insurance', 'claim', 'Farmers', 'Auto', 'Insurance', 'injury', 'driven', 'Mid', 'Company', 'settlement', 'Farmer', 'companies', 'auto', 'policies', 'Dell', 'CDs', 'page', 'version', 'Encyclopedia', 'Many', 'matters', 'AOL', 'wshakur', 'today', 'Wali', 'Shakur', 'Paulson', 'Clifton', 'Both', 'investigation', 'groups', 'files', 'subjects', 'MD', 'Eight', 'J.T', 'Adnan', 'Hijazi', 'attacks', 'entries', 'One', 'Martha', 'Mason', 'file', 'Mounir', 'Mzoudi', 'descent', 'Baltimore', 'College', 'North', 'ICNA', 'Taliban', 'tip', 'Troost', 'Kansas', 'terrorists', 'buildings', 'examination', 'garbage', 'sacks', 'collector', 'Traces', 'chemicals', 'Walter', 'Smith', 'identity', 'checks', 'batches', 'hexamethylene', 'diamine', 'HMTD', 'trinitramine', 'RDX', 'sulfate', 'drawings', 'casinos', 'Argosy', 'Riverside', 'Casino', 'Isle', 'Capri', 'Harrah', 'robbery', 'FirstTex', 'Fielder', 'Arlington', 'ski', 'masks', 'Taifi', 'Robinson', 'Apartment', 'Grand', 'Prairie', 'kind', 'Mexico', 'Presidio', 'English', 'bags', 'banks', 'Dallas', 'arms', 'literature', 'Ruth', 'Tucker', 'months', 'trouble', 'rent', 'item', 'mail', 'letter', 'Doman', 'return', 'agents', 'interview', 'New', 'Brunswick', 'parents', 'immigrants', 'Rutgers', 'order', 'Beirut', 'Lebanon', 'copy', 'e-mail', 'friends', 'father', 'payment', 'loan', 'Western', 'Imam', 'Tawhid', 'Florida', 'ten', 'informants', 'campus', 'Coral', 'Gables', 'sink', 'vice', 'corruption', 'Examples', 'availability', 'sex', 'drugs', 'action', 'Muslims', 'tourist', 'industry', 'Update', 'Checks', 'airlines', 'Madrid', 'Spain', 'France', 'Dandani', 'Fenkell', 'lives', 'Livernois', 'Utilities', 'history', 'teacher', 'Westfields', 'High', 'School', 'Ferndale', 'Investigation', 'role', 'synagogue', 'Cartagena', 'boat', 'Guane', 'Chetumal', 'Ojinaga', 'licenses', 'U.S.', 'currency', 'Ft.', 'Stockton', 'Antonio', 'Billy', 'Jack', 'Hawkins', 'Pipeline', 'Rd.', 'Euless', 'Slade', 'Goodman', 'Ann', 'Arbor', 'Co', 'Officials', 'worker', 'intimate', 'knowledge', 'efficiency', 'power', 'leave', 'absence', 'Imad', 'Dahdah', 'End', 'Syria', 'affairs', 'travels', 'repair', 'wage', 'Gulf', 'Shores', 'Tampa', 'Charities', 'Information', 'rosters', 'Feb.', 'roster', 'tells', 'Reginald', 'Cooper', 'Lavender', 'Grove', 'Hackney', 'constables', 'Mum', 'Inquiries', 'neighbors', 'Ralph', 'Bean', 'materials', 'devices', 'Mahmud', 'al-Dahab', 'Dahab', 'weeks', 'matter', 'associate', 'Toyota', 'Tercel', 'TQE-732', 'River', 'Rouge', 'vehicle', 'slip', 'paper', 'tap', 'Hayes', 'caller', 'match', 'side', 'Investigators', 'Neighbors', 'briefly', 'owner', 'Mr.', 'Howard', 'Clark', 'Catalan', 'textiles', 'convention', 'Luxor', 'stay', 'visits', 'jewelry', 'Marie', 'Overseas', 'Exports', 'Inc', 'GAM', 'Easterner', 'Halfs', 'gist', 'place', 'Westerner', 'Motel', 'Almeda-Genoa', 'hold', 'member', 'fear', 'Carrizo', 'Springs', 'TX', 'USCBP', 'questions', 'attorney', 'custody', 'blessing', 'Jersey', 'Pieter', 'Dopple', 'Hoveniersstraat', 'Antwerp', 'Belgium', 'fence', 'ventures', 'tanzanite', 'cuts', 'polishes', 'fee', 'suppliers', 'scheme', 'transaction', 'concerns', 'vulnerabilities', 'systems', 'Supervisory', 'Data', 'Acquisition', 'flow', 'electricity', 'functions', 'industries', 'processing', 'plants', 'water', 'purification', 'delivery', 'operations', 'Unauthorized', 'access', 'concern', 'computers', 'laptops', 'insiders', 'Scholarship', 'Fund', 'Glade', 'Reston', 'VA', 'alert', 'Detroit/', 'cooperation', 'employer', 'week', 'vacation', 'employers', 'month', 'efforts', 'mother', 'watch', 'one', 'receipt', 'rental', 'storage', 'unit', 'StoreAll', 'Bissonnet', 'Unit', 'traces', 'renter', 'RentAll', 'truck', 'contents', 'Marrakech', 'Morocco', 'idea', 'copper', 'tubing', 'wires', 'batteries', 'components', 'electromagnet', 'ic', 'bomb', 'fund', 'Karim', 'discussion', 'scholarship', 'donation', 'donors', 'HIjazi', 'CLifton', 'Hamza', 'Midhar', 'Pitkin', 'Brooklyn', 'Mamoun', 'Zammar', 'Charles', 'Potomac', 'Said', 'Broward', 'Blvd.', 'Fort', 'Lauderdale', 'amounts', 'donations', 'recollection', 'Results', 'morning', 'anyone', 'dealings', 'job', 'use', 'characteristics', 'control', 'data', 'acquisition', 'demands', 'nights', 'weekends', 'Black', 'Ice', 'communications', 'court', 'document', 'proceeds', 'Ramon', 'post', 'Gulfgate', 'stain', 'Type', 'cattlemen', 'Victoria', 'Piedras', 'Negras', 'Juan', 'Branch', 'strain', 'Ciudad', 'Madero', 'Acuna', 'greeting', 'Agents', 'websites', 'website', 'Government', 'Secrets', 'posts', 'public', 'secure', 'labs', 'Plum', 'Long', 'BS', 'IDs', 'samples', 'Lab', 'How', 'dark', 'lack', 'safety', 'food', 'stake', 'Majestic', 'lines', 'observation', 'booking', 'tours', 'tour', 'Clipper', 'passports', 'accommodations', 'light', 'occurrences', 'bookings', 'replies', 'Royal', 'York', 'Sea', 'Aire', 'NYC', 'second', 'Regarding', 'insiders.', 'Continuing', 'Acting', 'stake.', 'Becklow', 'Shepard', 'Bush', 'meat', 'Grootslagstraat', 'De', 'Civry', 'pay', 'Cabrito', 'S', 'R', 'passage', 'north', 'Cafe', 'rder3', 'user', 'Part', 'Do', 'hands', 'station', 'speaking', 'receiver', 'accent', 'Grenfel', 'promotion', 'reply', 'course', 'quality', 'shipment', 'shipments', 'prepaid', 'cell', 'ID', 'recipient', 'belonging', 'while', 'calls', 'French', 'Mother', 'Plasencia', 'end', 'arrangements', 'Palmas', 'Hotel.in', 'expenses', 'Tampico', 'Andes', 'La', 'Mirada', 'stopover', 'thought', 'help', 'shorter', 'stuff', 'Fine', 'Tehran', 'Cultural', 'Ministry', 'Pharsi', 'Crusader', 'enemies', ""'Diamonds"", 'girl', 'Desague', 'Hello', 'guy', 'Arab', 'anything', 'guess', 'guests', 'tenth', 'Rinaldo', 'Cuidad', 'rocks', 'NOvember', 'packages', 'thanks', 'Zaragoza', 'stories', 'building', 'Fidel', 'sorry', 'canisters', 'L-one', 'N-one', 'Iraq', 'Israelis', 'beach', 'Intercepted', 'sure.', 'course.', 'friends.', 'shipment.', 'expenses.', 'now.', 'too.', 'Columbia.', 'thanks.', 'Longhorn', 'motel', 'Mike', 'Sanders', 'KHZ', 'Fannin', 'Uvalde', 'Laredo', 'plate', 'USCPB', 'Eagle', 'Pass', 'Examination', 'luggage', 'sarin', 'ricin', 'inspection', 'Lyons', 'form', 'decorative', 'clocks', 'Discussions', 'decision', 'violation', 'reason', 'USPS']"
VERB,4791,"['named', 'was', 'arrested', 'charged', 'had', 'attempted', 'arrest', 'being', 'drunk', 'sells', 'represents', 'called', 'carrying', 'reading', 'wounded', 'sent', 'training', 'is', 'moved', 'works', 'associated', 'photographed', 'identified', 'has', 'conducted', 'reports', 'observing', 'knew', 'were', 'discussing', 'recognized', 'says', 'said', 'believes', 'stated', 'visit', 'arrange', 'needed', 'sell', 'distribute', 'holds', 'born', 'lives', 'aliases', 'headed', 'appears', 'received', 'specializes', ']', 'having', 'awarded', 'treating', ""l'Etat"", 'issued', 'concerning', 'been', 'occupying', 'wanted', 'blow', 'faire', 'expert', 'provided', 'learned', 'left', 'using', 'reported', 'mentioned', 'would', 'be', 'doing', 'apprehended', 'saying', 'shot', 'attempting', 'desert', 'taken', 'placed', 'encouraged', 'talk', 'revealed', 'shown', 'asked', 'could', 'identify', 'showed', 'remember', 'traded', 'representing', 'acquiring', 'done', 'requested', 'gave', 'delivered', 'marked', 'objects', 'responded', 'given', 'show', 'traveled', 'returned', 'employed', 'came', 'applied', 'refused', 'convicted', 'inciting', 'riot', 'served', 'reveal', 'suspected', 'raided', 'fled', 'included', 'written', 'opened', 'addressed', 'found', 'succeeded', 'causing', 'failed', 'killed', 'are', 'believed', 'have', 'may', 'trained', 'do', 'signed', 'became', 'brought', 'make', 'keeping', 'emigrated', 'formed', 'destroy', 'established', 'connecting', 'giving', 'containing', 'located', 'runs', 'deals', 'known', 'travels', 'supports', 'does', 'volunteered', 'provide', 'happened', 'say', 'went', 'Asked', 'Based', 'solicited', 'regarding', 'used', 'arrived', 'Derwish', 'gets', 'might', 'worked', 'seen', 'obtained', 'paid', 'treated', 'replied', 'told', 'registering', 'registered', 'checked', 'al', 'see', 'listed', 'granted', 'took', 'driven', 'overheard', 'speaking', 'reveals', 'coming', 'Provided', 'held', 'continues', 'boarded', 'arriving', 'returning', 'stayed', 'working', 'surrounding', 'cargo', 'slaughtered', 'declared', 'tracking', 'gathered', 'joined', 'developing', 'divorced', 'ran', 'translated', 'happens', 'work', 'drove', 'met', 'sold', 'confirmed', 'appear', 'type', 'teaches', 'tell', 'enjoys', 'can', 'planned', 'marry', 'travel', 'helped', 'guessed', 'involved', 'help', 'noticing', 'wearing', 'noted', 'agreed', 'keep', 'prompted', '[', 'seems', 'contained', 'including', 'made', 'read', 'need', 'finish', 'will', 'makes', 'assigned', 'wrapped', 'should', 'observed', 'placing', 'shipping', 'become', 'attached', 'added', 'watched', 'grow', 'fighting', 'heard', 'did', 'recognize', 'owned', 'cover', 'followed', 'carried', 'thought', 'translate', 'Received', 'following', 'departed', '..', 'Captured', 'Entered', 'calling', 'captured', 'Came', 'Says', 'gone', 'Pakistan', 'seeking', 'name', 'planning', 'examined', 'contain', 'controls', 'degree', 'concerns', 'traveling', 'arrive', 'attend', 'operated', 'rented', 'discovered', 'abandoned', 'visited', 'appeared', 'indicated', 'hold', 'identifying', 'surfaced', 'Examined', 'matches', 'guaranteed', 'closed', 'Regarding', 'come', 'reporting', 'landed', 'occupied', 'acting', 'confiscated', 'answered', 'entered', 'exist', 'fell', 'attended', 'attends', 'developed', 'invited', 'detailed', 'elaborate', 'filing', 'filed', 'suffered', 'struck', 'investigated', 'handled', 'know', 'searched', 'seemed', 'involve', 'attracted', 'interviewed', 'cleared', 'incarcerated', 'according', 'supported', 'directed', 'manufactured', 'intended', 'search', 'picked', 'posing', 'produce', 'proceeding', 'forged', 'spoke', 'unemployed', 'belonging', 'amounted', 'lived', 'caused', 'dropping', 'study', 'referred', 'loaned', 'died', 'remain', 'distributing', 'frequented', 'describes', 'illustrates', 'calls', 'prevent', 'singled', 'accompanied', 'Escaping', 'collaborating', 'smuggled', 'supplied', 'earned', 'increasing', 'resides', 'receive', 'drawn', 'According', 'constructing', 'shed', 'living', 'forfeited', 'alias', 'locate', 'turned', 'bearing', 'Overlooked', 'Acting', 'let', 'played', 'take', 'get', 'receiving', 'hope', 'play', 'evicted', 'pay', 'recorded', 'involving', 'discussed', 'expressed', 'compromised', 'answer', 'represented', 'fingerprinted', 'Go', 'continuing', 'totaled', 'receives', 'sends', 'specify', 'admitted', 'transferring', 'cooperate', 'polished', 'Ortiz', 'assorted', 'manage', 'perform', 'manufacturing', 'controlled', 'maintained', 'accessed', 'Continuing', 'began', 'designed', 'disrupt', 'advised', 'advises', 'contact', 'return', 'dying', 'remembered', 'removed', 'approached', 'accompany', 'denied', 'continue', 'led', 'described', 'assisted', 'begun', 'Checking', 'verified', 'hesitated', 'go', 'stipulated', 'contributed', 'corresponded', 'required', 'approved', 'describing', 'assess', 'mailed', 'suffer', 'posted', 'kept', 'fake', 'stolen', 'going', 'booked', 'leave', 'booking', 'leaves', 'Intercepted', 'cook', 'stay', 'originated', 'Recorded', 'billed', 'reads', 'fail', 'meet', 'Let', 'Do', 'am', 'offer', 'accept', 'Can', 'begins', ""'ll"", 'bringing', 'states', 'announce', 'expected', ""'s"", 'handle', 'Expect', 'hear', 'must', 'send', 'find', 'recommend', 'try', 'Will', 'sounds', 'got', 'wish', 'deliver', 'understand', 'mean', ""'m"", 'give', 'guess', 'supposed', 'Make', 'avoid', 'believe', 'caught', 'looks', 'Have', 'worry', 'straight', 'thinking', 'wonder', 'use', 'bought', 'ought', 'know.', 'do.', 'presented', 'allowed', 'informed', 'crossed', 'questioning', 'performed', 'estimated', 'resulted', 'pursue', 'resealed']"
ADP,4316,"['in', 'on', 'with', 'for', 'throughout', 'that', 'at', 'near', 'from', 'as', 'under', 'because', 'of', 'by', 'On', 'among', 'while', 'after', 'about', 'Among', 'before', 'if', 'since', 'over', 'In', 'behind', 'Of', 'During', 'along', 'between', 'outside', 'out', 'At', 'While', 'during', 'From', 'ago', 'around', 'than', 'aboard', 'born', 'against', 'through', 'into', 'Before', 'As', 'Like', 'off', '..', 'until', 'up', 'By']"
.,3746,"[',', '.', ':', '``', '(', ')', ';', '-', ""''"", '$', '#', '}', '...', '?', ""'""]"
DET,2992,"['A', 'an', 'the', 'a', 'This', 'The', 'these', 'some', 'this', 'no', 'Another', 'another', 'that', 'any', 'all', 'which', 'there', 'These', 'All', 'both', 'either', 'Both', 'Each', 'An', 'each', 'There', 'neither', 'Every', 'That', 'Any']"
NUM,1426,"['29', '2003', '2002', '26', '12', '1999-2000', '23', '2000', '77', '1992', '3', 'three', 'one', '1991', '1950', '22', '2001', '2', '73', '1997', '1', 'One', 'four', '500', '993', '250.00', '5', '1993', '1998', '1999', '11', '1996', '17', '88', '15', '10', '16', 'five', '18', '20', '71', '1990s', '1974', 'two', '235', '773', '811', '1986', '1990', '6', '1967', '19', '21', '24', '25', '65', '4', '1970', '411', '27', '2004', '150,000', '7', '631', 'six', '97', '13', '1988', '04', '1995', '175', 'Two', '44', '721', '455', '11th', '1712', '1000', '2211', '3000', '3131', '2,000', '28', '174', '3236', '11,000', '231', '12th', '7,000', '100', '4,000', '224', '9/11/01', '1994', '2116', '2111', '435', '2727', '42,010', '1965', '8,000', '562', '766', 'seven', 'ten', '1969', '1212', '899', '8', '1964', '10,000', '237', '47,980', '14', '48,000', '1721', '124', '4618', '1641', '1621', '6132', '101', '1789', '28th', '555', '45', '21st', '112', '222', '116', '2233', '111', '47,000']"
PRON,1346,"['who', 'him', 'he', 'it', 'I', 'whose', 'they', 'Our', 'He', 'his', 'It', 'whom', 'them', 'our', 'us', 'They', 'His', 'what', 'we', 'you', 'your', 'their', 'himself', 'she', 'its', 'her', 'What', 'She', 'We', 'my', 'You', 's', 'me', 'Your', 'My']"
