tokens,count,source
London,36,"['CIA_02', 'CIA_10', 'CIA_26', 'CIA_docs.txt', 'FBI_02', 'FBI_06', 'FBI_08', 'FBI_22', 'FBI_docs.txt', 'NSA_01', 'NSA_docs.txt']"
Abdul,36,"['CIA_33', 'CIA_37', 'CIA_docs.txt', 'DIA_01', 'DIA_03', 'DIA_docs.txt', 'FBI_06', 'FBI_07', 'FBI_18', 'FBI_20', 'FBI_23', 'FBI_26', 'FBI_31', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
sent,36,"['CIA_02', 'CIA_09', 'CIA_25', 'CIA_37', 'CIA_39', 'CIA_docs.txt', 'FBI_10', 'FBI_14', 'FBI_22', 'FBI_28', 'FBI_30', 'FBI_35', 'FBI_38', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
$,36,"['CIA_09', 'CIA_25', 'CIA_docs.txt', 'FBI_03', 'FBI_05', 'FBI_10', 'FBI_13', 'FBI_14', 'FBI_23', 'FBI_27', 'FBI_28', 'FBI_30', 'FBI_35', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
5,36,"['CIA_10', 'CIA_26', 'CIA_32', 'CIA_37', 'CIA_39', 'CIA_docs.txt', 'FBI_06', 'FBI_16', 'FBI_18', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_34', 'FBI_36', 'FBI_docs.txt', 'NSA_06', 'NSA_14', 'NSA_docs.txt']"
area,36,"['CIA_04', 'CIA_06', 'CIA_07', 'CIA_13', 'CIA_33', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_05', 'FBI_12', 'FBI_13', 'FBI_15', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_25', 'FBI_31', 'FBI_docs.txt']"
City,36,"['CIA_09', 'CIA_13', 'CIA_14', 'CIA_25', 'CIA_docs.txt', 'FBI_03', 'FBI_11', 'FBI_12', 'FBI_19', 'FBI_25', 'FBI_28', 'FBI_41', 'FBI_docs.txt', 'NSA_07', 'NSA_docs.txt']"
Bugarov,34,"['CIA_17', 'CIA_21', 'CIA_31', 'CIA_36', 'CIA_docs.txt', 'NSA_05', 'NSA_11', 'NSA_docs.txt']"
surveillance,34,"['CIA_03', 'CIA_12', 'CIA_16', 'CIA_26', 'CIA_32', 'CIA_37', 'CIA_38', 'CIA_42', 'CIA_docs.txt', 'FBI_03', 'FBI_09', 'FBI_15', 'FBI_16', 'FBI_27', 'FBI_28', 'FBI_30', 'FBI_31', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
them,34,"['CIA_08', 'CIA_37', 'CIA_40', 'CIA_docs.txt', 'FBI_14', 'FBI_19', 'FBI_28', 'FBI_34', 'FBI_docs.txt', 'NSA_12', 'NSA_16', 'NSA_17', 'NSA_19', 'NSA_21', 'NSA_docs.txt']"
American,34,"['CIA_02', 'CIA_04', 'CIA_08', 'CIA_19', 'CIA_40', 'CIA_docs.txt', 'DIA_01', 'DIA_03', 'DIA_docs.txt', 'FBI_14', 'FBI_18', 'FBI_22', 'FBI_30', 'FBI_35', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
time,34,"['CIA_08', 'CIA_31', 'CIA_39', 'CIA_40', 'CIA_docs.txt', 'FBI_06', 'FBI_08', 'FBI_11', 'FBI_13', 'FBI_21', 'FBI_23', 'FBI_24', 'FBI_docs.txt', 'NSA_07', 'NSA_09', 'NSA_21', 'NSA_docs.txt']"
all,34,"['CIA_08', 'CIA_12', 'CIA_15', 'CIA_16', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_40', 'CIA_docs.txt', 'FBI_11', 'FBI_22', 'FBI_23', 'FBI_34', 'FBI_docs.txt', 'NSA_04', 'NSA_11', 'NSA_16', 'NSA_22', 'NSA_docs.txt']"
left,34,"['CIA_07', 'CIA_10', 'CIA_11', 'CIA_27', 'CIA_40', 'CIA_docs.txt', 'FBI_01', 'FBI_06', 'FBI_21', 'FBI_22', 'FBI_32', 'FBI_40', 'FBI_41', 'FBI_docs.txt']"
Bahamas,32,"['CIA_10', 'CIA_24', 'CIA_26', 'CIA_27', 'CIA_32', 'CIA_38', 'CIA_42', 'CIA_docs.txt', 'FBI_02', 'FBI_21', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_06', 'NSA_20', 'NSA_docs.txt']"
Santo,32,"['CIA_03', 'CIA_23', 'CIA_28', 'CIA_30', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_docs.txt', 'NSA_09', 'NSA_11', 'NSA_16', 'NSA_docs.txt']"
Domingo,32,"['CIA_03', 'CIA_23', 'CIA_28', 'CIA_30', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_docs.txt', 'NSA_09', 'NSA_11', 'NSA_16', 'NSA_docs.txt']"
several,32,"['CIA_07', 'CIA_13', 'CIA_23', 'CIA_36', 'CIA_38', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_02', 'FBI_03', 'FBI_05', 'FBI_12', 'FBI_13', 'FBI_22', 'FBI_25', 'FBI_28', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
both,32,"['CIA_21', 'CIA_27', 'CIA_docs.txt', 'FBI_03', 'FBI_10', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_19', 'FBI_25', 'FBI_40', 'FBI_docs.txt', 'NSA_20', 'NSA_docs.txt']"
regarding,32,"['CIA_16', 'CIA_21', 'CIA_22', 'CIA_23', 'CIA_32', 'CIA_33', 'CIA_40', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_03', 'FBI_10', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_22', 'FBI_36', 'FBI_docs.txt']"
Omar,32,"['CIA_10', 'CIA_13', 'CIA_22', 'CIA_24', 'CIA_26', 'CIA_38', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_02', 'FBI_03', 'FBI_05', 'FBI_23', 'FBI_docs.txt', 'NSA_06', 'NSA_docs.txt']"
MI,32,"['CIA_10', 'CIA_18', 'CIA_27', 'CIA_32', 'CIA_38', 'CIA_docs.txt', 'FBI_06', 'FBI_08', 'FBI_11', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_docs.txt']"
Pakistan,32,"['CIA_14', 'CIA_22', 'CIA_26', 'CIA_37', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_14', 'FBI_28', 'FBI_docs.txt', 'NSA_05', 'NSA_07', 'NSA_08', 'NSA_11', 'NSA_14', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
12,32,"['CIA_02', 'CIA_08', 'CIA_17', 'CIA_19', 'CIA_33', 'CIA_docs.txt', 'FBI_09', 'FBI_10', 'FBI_16', 'FBI_22', 'FBI_28', 'FBI_41', 'FBI_docs.txt', 'NSA_03', 'NSA_15', 'NSA_docs.txt']"
January,32,"['CIA_01', 'CIA_03', 'CIA_08', 'CIA_19', 'CIA_25', 'CIA_docs.txt', 'FBI_11', 'FBI_14', 'FBI_16', 'FBI_19', 'FBI_20', 'FBI_24', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
15,32,"['CIA_11', 'CIA_15', 'CIA_18', 'CIA_29', 'CIA_30', 'CIA_41', 'CIA_43', 'CIA_docs.txt', 'FBI_22', 'FBI_23', 'FBI_33', 'FBI_40', 'FBI_docs.txt', 'NSA_04', 'NSA_10', 'NSA_19', 'NSA_docs.txt']"
?,32,"['NSA_06', 'NSA_07', 'NSA_08', 'NSA_10', 'NSA_13', 'NSA_15', 'NSA_16', 'NSA_19', 'NSA_20', 'NSA_22', 'NSA_docs.txt']"
received,32,"['CIA_06', 'CIA_30', 'CIA_34', 'CIA_41', 'CIA_docs.txt', 'FBI_03', 'FBI_14', 'FBI_22', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_docs.txt', 'NSA_10', 'NSA_20', 'NSA_22', 'NSA_docs.txt']"
April,32,"['CIA_07', 'CIA_19', 'CIA_29', 'CIA_docs.txt', 'FBI_01', 'FBI_04', 'FBI_08', 'FBI_09', 'FBI_19', 'FBI_20', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
Chitral,32,"['CIA_15', 'CIA_20', 'CIA_37', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'NSA_05', 'NSA_08', 'NSA_11', 'NSA_14', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
know,31,"['FBI_10', 'FBI_14', 'FBI_23', 'FBI_39', 'FBI_docs.txt', 'NSA_03', 'NSA_05', 'NSA_07', 'NSA_09', 'NSA_12', 'NSA_14', 'NSA_16', 'NSA_21', 'NSA_docs.txt']"
Peshawar,31,"['CIA_01', 'CIA_08', 'CIA_11', 'CIA_15', 'CIA_19', 'CIA_22', 'CIA_docs.txt', 'FBI_28', 'FBI_docs.txt', 'NSA_08', 'NSA_11', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
revealed,30,"['CIA_08', 'CIA_docs.txt', 'FBI_05', 'FBI_09', 'FBI_10', 'FBI_12', 'FBI_13', 'FBI_19', 'FBI_22', 'FBI_26', 'FBI_31', 'FBI_33', 'FBI_34', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
It,30,"['CIA_07', 'CIA_17', 'CIA_27', 'CIA_30', 'CIA_31', 'CIA_33', 'CIA_38', 'CIA_docs.txt', 'FBI_01', 'FBI_04', 'FBI_08', 'FBI_18', 'FBI_23', 'FBI_28', 'FBI_docs.txt']"
Mexico,30,"['FBI_13', 'FBI_19', 'FBI_37', 'FBI_38', 'FBI_docs.txt', 'NSA_03', 'NSA_12', 'NSA_13', 'NSA_15', 'NSA_17', 'NSA_19', 'NSA_21', 'NSA_docs.txt']"
Miami,30,"['CIA_26', 'CIA_28', 'CIA_docs.txt', 'FBI_02', 'FBI_15', 'FBI_17', 'FBI_35', 'FBI_40', 'FBI_docs.txt']"
Paris,30,"['CIA_07', 'CIA_docs.txt', 'FBI_01', 'FBI_07', 'FBI_16', 'FBI_24', 'FBI_docs.txt', 'NSA_01', 'NSA_03', 'NSA_10', 'NSA_docs.txt']"
package,30,"['CIA_09', 'CIA_34', 'CIA_39', 'CIA_41', 'CIA_42', 'CIA_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
any,30,"['CIA_08', 'CIA_14', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_01', 'FBI_11', 'FBI_13', 'FBI_14', 'FBI_26', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_docs.txt', 'NSA_13', 'NSA_16', 'NSA_docs.txt']"
One,30,"['CIA_08', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_19', 'CIA_29', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_06', 'FBI_11', 'FBI_13', 'FBI_18', 'FBI_28', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Hijazi,30,"['FBI_11', 'FBI_16', 'FBI_24', 'FBI_27', 'FBI_28', 'FBI_30', 'FBI_35', 'FBI_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
which,30,"['CIA_09', 'CIA_12', 'CIA_13', 'CIA_16', 'CIA_23', 'CIA_39', 'CIA_42', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_06', 'FBI_11', 'FBI_20', 'FBI_21', 'FBI_25', 'FBI_30', 'FBI_34', 'FBI_docs.txt']"
where,30,"['CIA_17', 'CIA_26', 'CIA_34', 'CIA_42', 'CIA_docs.txt', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_19', 'FBI_22', 'FBI_23', 'FBI_28', 'FBI_32', 'FBI_docs.txt', 'NSA_09', 'NSA_20', 'NSA_docs.txt']"
March,30,"['CIA_02', 'CIA_04', 'CIA_11', 'CIA_19', 'CIA_23', 'CIA_docs.txt', 'FBI_09', 'FBI_18', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_34', 'FBI_36', 'FBI_docs.txt', 'NSA_01', 'NSA_06', 'NSA_docs.txt']"
receiver,30,"['NSA_05', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_15', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt']"
training,30,"['CIA_02', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_30', 'CIA_33', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_docs.txt']"
Hanif,30,"['CIA_10', 'CIA_24', 'CIA_26', 'CIA_38', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'NSA_06', 'NSA_docs.txt']"
having,30,"['CIA_06', 'CIA_09', 'CIA_12', 'CIA_32', 'CIA_docs.txt', 'FBI_07', 'FBI_11', 'FBI_14', 'FBI_18', 'FBI_21', 'FBI_25', 'FBI_34', 'FBI_38', 'FBI_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
#,30,"['CIA_10', 'CIA_11', 'CIA_13', 'CIA_15', 'CIA_38', 'CIA_docs.txt', 'FBI_02', 'FBI_08', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_33', 'FBI_docs.txt', 'NSA_03', 'NSA_06', 'NSA_07', 'NSA_docs.txt']"
Russian,30,"['CIA_01', 'CIA_17', 'CIA_31', 'CIA_34', 'CIA_39', 'CIA_42', 'CIA_docs.txt', 'NSA_05', 'NSA_11', 'NSA_14', 'NSA_18', 'NSA_22', 'NSA_docs.txt']"
Casablanca,30,"['CIA_12', 'CIA_21', 'CIA_22', 'CIA_28', 'CIA_39', 'CIA_docs.txt', 'NSA_05', 'NSA_08', 'NSA_09', 'NSA_22', 'NSA_docs.txt']"
2,30,"['CIA_07', 'CIA_08', 'CIA_19', 'CIA_20', 'CIA_41', 'CIA_docs.txt', 'FBI_01', 'FBI_04', 'FBI_11', 'FBI_14', 'FBI_15', 'FBI_19', 'FBI_24', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
went,30,"['CIA_15', 'CIA_31', 'CIA_40', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_docs.txt', 'FBI_19', 'FBI_22', 'FBI_23', 'FBI_31', 'FBI_32', 'FBI_35', 'FBI_docs.txt', 'NSA_06', 'NSA_docs.txt']"
February,30,"['CIA_10', 'CIA_23', 'CIA_26', 'CIA_27', 'CIA_30', 'CIA_33', 'CIA_37', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_15', 'FBI_22', 'FBI_docs.txt']"
three,30,"['CIA_04', 'CIA_08', 'CIA_13', 'CIA_37', 'CIA_40', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_12', 'FBI_13', 'FBI_16', 'FBI_25', 'FBI_docs.txt']"
there,30,"['CIA_10', 'CIA_11', 'CIA_30', 'CIA_32', 'CIA_36', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_09', 'FBI_13', 'FBI_18', 'FBI_41', 'FBI_docs.txt', 'NSA_05', 'NSA_12', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Central,30,"['CIA_03', 'CIA_04', 'CIA_05', 'CIA_14', 'CIA_34', 'CIA_39', 'CIA_docs.txt', 'FBI_04', 'FBI_10', 'FBI_13', 'FBI_docs.txt', 'NSA_05', 'NSA_14', 'NSA_22', 'NSA_docs.txt']"
no,30,"['CIA_06', 'CIA_12', 'CIA_32', 'CIA_docs.txt', 'FBI_06', 'FBI_08', 'FBI_11', 'FBI_17', 'FBI_32', 'FBI_34', 'FBI_37', 'FBI_38', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
company,28,"['CIA_01', 'CIA_03', 'CIA_23', 'CIA_24', 'CIA_30', 'CIA_docs.txt', 'FBI_03', 'FBI_05', 'FBI_10', 'FBI_23', 'FBI_32', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
using,28,"['CIA_07', 'CIA_23', 'CIA_docs.txt', 'FBI_01', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_08', 'FBI_33', 'FBI_docs.txt', 'NSA_08', 'NSA_11', 'NSA_12', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_docs.txt']"
house,28,"['CIA_07', 'CIA_11', 'CIA_26', 'CIA_34', 'CIA_41', 'CIA_docs.txt', 'FBI_05', 'FBI_06', 'FBI_docs.txt', 'NSA_22', 'NSA_docs.txt']"
Afghanistan,28,"['CIA_07', 'CIA_08', 'CIA_10', 'CIA_12', 'CIA_19', 'CIA_33', 'CIA_40', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_docs.txt', 'FBI_07', 'FBI_21', 'FBI_22', 'FBI_docs.txt']"
made,28,"['CIA_37', 'CIA_docs.txt', 'FBI_16', 'FBI_18', 'FBI_22', 'FBI_24', 'FBI_27', 'FBI_35', 'FBI_36', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_19', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
first,28,"['CIA_08', 'CIA_16', 'CIA_docs.txt', 'FBI_09', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_12', 'NSA_14', 'NSA_17', 'NSA_20', 'NSA_docs.txt']"
Shakur,28,"['FBI_10', 'FBI_14', 'FBI_35', 'FBI_41', 'FBI_docs.txt']"
asked,28,"['CIA_08', 'CIA_12', 'CIA_36', 'CIA_41', 'CIA_docs.txt', 'FBI_03', 'FBI_07', 'FBI_14', 'FBI_26', 'FBI_35', 'FBI_36', 'FBI_docs.txt']"
account,28,"['CIA_25', 'CIA_docs.txt', 'FBI_03', 'FBI_05', 'FBI_10', 'FBI_21', 'FBI_23', 'FBI_27', 'FBI_30', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
could,28,"['CIA_08', 'CIA_15', 'CIA_27', 'CIA_36', 'CIA_39', 'CIA_42', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_13', 'FBI_19', 'FBI_25', 'FBI_28', 'FBI_29', 'FBI_docs.txt']"
license,28,"['FBI_04', 'FBI_08', 'FBI_13', 'FBI_22', 'FBI_23', 'FBI_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
20,28,"['CIA_13', 'CIA_19', 'CIA_22', 'CIA_24', 'CIA_docs.txt', 'FBI_10', 'FBI_11', 'FBI_23', 'FBI_25', 'FBI_27', 'FBI_31', 'FBI_40', 'FBI_41', 'FBI_docs.txt']"
Islamic,28,"['CIA_30', 'CIA_docs.txt', 'FBI_03', 'FBI_06', 'FBI_09', 'FBI_11', 'FBI_15', 'FBI_19', 'FBI_21', 'FBI_28', 'FBI_30', 'FBI_35', 'FBI_docs.txt']"
returned,28,"['CIA_10', 'CIA_17', 'CIA_24', 'CIA_31', 'CIA_40', 'CIA_docs.txt', 'FBI_01', 'FBI_04', 'FBI_14', 'FBI_21', 'FBI_40', 'FBI_41', 'FBI_docs.txt']"
Windsor,28,"['CIA_16', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_08', 'FBI_31', 'FBI_34', 'FBI_36', 'FBI_docs.txt', 'NSA_04', 'NSA_10', 'NSA_docs.txt']"
requested,26,"['CIA_09', 'CIA_14', 'CIA_17', 'CIA_18', 'CIA_27', 'CIA_41', 'CIA_docs.txt', 'FBI_10', 'FBI_14', 'FBI_28', 'FBI_31', 'FBI_32', 'FBI_36', 'FBI_docs.txt']"
message,26,"['CIA_37', 'CIA_docs.txt', 'FBI_06', 'FBI_10', 'FBI_14', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_06', 'NSA_10', 'NSA_12', 'NSA_docs.txt']"
Report,26,"['CIA_30', 'CIA_32', 'CIA_33', 'CIA_37', 'CIA_41', 'CIA_docs.txt', 'FBI_23', 'FBI_25', 'FBI_26', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
Moscow,26,"['CIA_01', 'CIA_05', 'CIA_17', 'CIA_31', 'CIA_34', 'CIA_36', 'CIA_docs.txt', 'NSA_05', 'NSA_14', 'NSA_22', 'NSA_docs.txt']"
office,26,"['FBI_06', 'FBI_31', 'FBI_34', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_docs.txt', 'NSA_08', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Chicago,26,"['CIA_07', 'CIA_10', 'CIA_13', 'CIA_16', 'CIA_docs.txt', 'FBI_04', 'FBI_06', 'FBI_09', 'FBI_12', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
Shamrani,26,"['FBI_09', 'FBI_25', 'FBI_32', 'FBI_docs.txt']"
police,26,"['CIA_01', 'CIA_08', 'CIA_12', 'CIA_13', 'CIA_37', 'CIA_docs.txt', 'FBI_05', 'FBI_10', 'FBI_11', 'FBI_13', 'FBI_19', 'FBI_22', 'FBI_23', 'FBI_docs.txt']"
They,26,"['CIA_13', 'CIA_docs.txt', 'FBI_13', 'FBI_19', 'FBI_25', 'FBI_26', 'FBI_40', 'FBI_docs.txt', 'NSA_15', 'NSA_16', 'NSA_19', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
Doha,26,"['FBI_10', 'FBI_14', 'FBI_docs.txt']"
then,26,"['CIA_17', 'CIA_26', 'CIA_31', 'CIA_docs.txt', 'FBI_19', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_docs.txt']"
obtained,26,"['CIA_19', 'CIA_33', 'CIA_35', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_11', 'FBI_12', 'FBI_14', 'FBI_21', 'FBI_23', 'FBI_28', 'FBI_41', 'FBI_docs.txt', 'NSA_14', 'NSA_docs.txt']"
Bank,26,"['CIA_25', 'CIA_docs.txt', 'FBI_03', 'FBI_05', 'FBI_10', 'FBI_13', 'FBI_21', 'FBI_23', 'FBI_27', 'FBI_docs.txt']"
only,26,"['CIA_07', 'CIA_08', 'CIA_09', 'CIA_12', 'CIA_27', 'CIA_37', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_06', 'FBI_10', 'FBI_12', 'FBI_25', 'FBI_28', 'FBI_docs.txt']"
when,26,"['CIA_04', 'CIA_12', 'CIA_36', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_10', 'FBI_23', 'FBI_26', 'FBI_docs.txt', 'NSA_03', 'NSA_11', 'NSA_14', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
listed,24,"['CIA_23', 'CIA_docs.txt', 'FBI_01', 'FBI_06', 'FBI_22', 'FBI_23', 'FBI_28', 'FBI_docs.txt', 'NSA_08', 'NSA_09', 'NSA_16', 'NSA_20', 'NSA_docs.txt', 'USCBP_01', 'USCBP_docs.txt']"
taken,24,"['CIA_08', 'CIA_11', 'CIA_13', 'CIA_19', 'CIA_40', 'CIA_43', 'CIA_docs.txt', 'FBI_03', 'FBI_10', 'FBI_19', 'FBI_24', 'FBI_docs.txt']"
Canada,24,"['CIA_07', 'CIA_16', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_08', 'FBI_31', 'FBI_34', 'FBI_docs.txt', 'NSA_02', 'NSA_04', 'NSA_10', 'NSA_docs.txt']"
if,24,"['CIA_08', 'CIA_41', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_03', 'FBI_35', 'FBI_36', 'FBI_41', 'FBI_docs.txt', 'NSA_05', 'NSA_docs.txt']"
works,24,"['CIA_03', 'CIA_04', 'CIA_10', 'CIA_12', 'CIA_16', 'CIA_17', 'CIA_23', 'CIA_38', 'CIA_docs.txt', 'FBI_09', 'FBI_20', 'FBI_21', 'FBI_docs.txt', 'NSA_19', 'NSA_docs.txt']"
camp,24,"['CIA_02', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_20', 'CIA_33', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt']"
2000,24,"['CIA_02', 'CIA_06', 'CIA_07', 'CIA_23', 'CIA_33', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_09', 'FBI_11', 'FBI_20', 'FBI_21', 'FBI_docs.txt']"
we,24,"['CIA_24', 'CIA_docs.txt', 'FBI_23', 'FBI_35', 'FBI_39', 'FBI_docs.txt', 'NSA_03', 'NSA_07', 'NSA_09', 'NSA_11', 'NSA_13', 'NSA_16', 'NSA_22', 'NSA_docs.txt']"
same,24,"['CIA_26', 'CIA_39', 'CIA_docs.txt', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_34', 'FBI_36', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_09', 'NSA_13', 'NSA_docs.txt']"
knew,24,"['CIA_04', 'CIA_07', 'CIA_08', 'CIA_15', 'CIA_20', 'CIA_36', 'CIA_docs.txt', 'DIA_02', 'DIA_docs.txt', 'FBI_03', 'FBI_34', 'FBI_docs.txt']"
July,24,"['CIA_06', 'CIA_10', 'CIA_15', 'CIA_16', 'CIA_docs.txt', 'FBI_06', 'FBI_10', 'FBI_11', 'FBI_28', 'FBI_34', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
22,24,"['CIA_06', 'CIA_21', 'CIA_22', 'CIA_30', 'CIA_docs.txt', 'FBI_12', 'FBI_24', 'FBI_28', 'FBI_docs.txt', 'NSA_05', 'NSA_docs.txt', 'USCBP_02', 'USCBP_docs.txt']"
Freeport,24,"['CIA_10', 'CIA_32', 'CIA_42', 'CIA_docs.txt', 'FBI_41', 'FBI_docs.txt', 'NSA_06', 'NSA_docs.txt']"
Lines,24,"['CIA_12', 'CIA_27', 'CIA_28', 'CIA_38', 'CIA_39', 'CIA_docs.txt', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_08', 'NSA_09', 'NSA_docs.txt']"
lives,24,"['CIA_05', 'CIA_10', 'CIA_16', 'CIA_17', 'CIA_38', 'CIA_docs.txt', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_18', 'FBI_28', 'FBI_docs.txt']"
Karachi,24,"['CIA_11', 'CIA_22', 'CIA_26', 'CIA_37', 'CIA_docs.txt', 'NSA_06', 'NSA_07', 'NSA_docs.txt']"
whom,24,"['CIA_07', 'CIA_36', 'CIA_37', 'CIA_40', 'CIA_41', 'CIA_docs.txt', 'DIA_03', 'DIA_docs.txt', 'FBI_22', 'FBI_25', 'FBI_28', 'FBI_35', 'FBI_docs.txt', 'NSA_04', 'NSA_docs.txt']"
2002,24,"['CIA_02', 'CIA_06', 'CIA_11', 'CIA_36', 'CIA_docs.txt', 'FBI_08', 'FBI_11', 'FBI_19', 'FBI_22', 'FBI_docs.txt']"
work,24,"['CIA_27', 'CIA_34', 'CIA_36', 'CIA_37', 'CIA_docs.txt', 'FBI_09', 'FBI_20', 'FBI_31', 'FBI_34', 'FBI_36', 'FBI_docs.txt']"
(,22,"['CIA_02', 'CIA_06', 'CIA_07', 'CIA_docs.txt', 'FBI_08', 'FBI_28', 'FBI_docs.txt']"
),22,"['CIA_02', 'CIA_06', 'CIA_07', 'CIA_docs.txt', 'FBI_08', 'FBI_28', 'FBI_docs.txt']"
medical,22,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_06', 'CIA_30', 'CIA_docs.txt', 'NSA_09', 'NSA_11', 'NSA_16', 'NSA_18', 'NSA_20', 'NSA_docs.txt']"
